period,ratio
2025-02-13,63.19874
2025-02-14,85.47981
2025-02-15,85.87309
2025-02-16,93.32459
2025-02-17,58.59989
2025-02-18,86.93235
2025-02-19,84.25275
2025-02-20,85.79444
2025-02-21,68.82538
2025-02-22,62.73203
2025-02-23,61.9507
2025-02-24,58.62087
2025-02-25,69.89512
2025-02-26,71.67802
2025-02-27,79.93183
2025-02-28,69.06659
2025-03-01,63.92239
2025-03-02,67.32564
2025-03-03,70.77084
2025-03-04,71.20608
2025-03-05,73.77031
2025-03-06,64.70896
2025-03-07,69.88463
2025-03-08,66.25589
2025-03-09,70.91242
2025-03-10,81.3162
2025-03-11,77.30991
2025-03-12,52.5957
2025-03-13,55.60566
2025-03-14,65.05506
2025-03-15,62.00839
2025-03-16,69.7011
2025-03-17,71.07498
2025-03-18,58.24855
2025-03-19,59.44939
2025-03-20,52.0818
2025-03-21,58.79391
2025-03-22,56.26114
2025-03-23,63.46617
2025-03-24,68.44257
2025-03-25,72.65862
2025-03-26,47.92343
2025-03-27,75.46407
2025-03-28,62.96276
2025-03-29,72.64289
2025-03-30,69.07184
2025-03-31,81.1851
2025-04-01,70.57682
2025-04-02,65.18091
2025-04-03,68.94598
2025-04-04,58.88306
2025-04-05,58.2538
2025-04-06,61.44729
2025-04-07,56.26114
2025-04-08,100.0
2025-04-09,82.39643
2025-04-10,70.6345
2025-04-11,59.96329
2025-04-12,59.48085
2025-04-13,46.35553
2025-04-14,66.43418
2025-04-15,70.0367
2025-04-16,60.57157
2025-04-17,57.18405
2025-04-18,46.37126
2025-04-19,44.85579
2025-04-20,46.06187
2025-04-21,52.86837
2025-04-22,96.31358
2025-04-23,88.36392
2025-04-24,84.60933
2025-04-25,90.86523
2025-04-26,87.32039
2025-04-27,84.87676
2025-04-28,57.37283
2025-04-29,59.53854
2025-04-30,55.84687
2025-05-01,59.79024
2025-05-02,53.92239
2025-05-03,50.7656
2025-05-04,39.1872
2025-05-05,51.03303
2025-05-06,58.8883
2025-05-07,62.66911
2025-05-08,60.07341
2025-05-09,58.66282
2025-05-10,45.15993
2025-05-11,44.88201
2025-05-12,52.88935
2025-05-13,44.38909
2025-05-14,47.56161
2025-05-15,46.68065
2025-05-16,35.42212
2025-05-17,39.65915
2025-05-18,43.17776
2025-05-19,49.47561
2025-05-20,59.92134
2025-05-21,70.13633
2025-05-22,69.12952
2025-05-23,47.61929
2025-05-24,48.24331
2025-05-25,47.55112
2025-05-26,57.85527
2025-05-27,54.8925
2025-05-28,54.74567
2025-05-29,51.72522
2025-05-30,52.37545
2025-05-31,40.49816
2025-06-01,44.43628
2025-06-02,43.94861
2025-06-03,42.07131
2025-06-04,53.56056
2025-06-05,53.43995
2025-06-06,42.03985
2025-06-07,43.64446
2025-06-08,32.57996
2025-06-09,47.67697
2025-06-10,45.2753
2025-06-11,49.52281
2025-06-12,47.59307
2025-06-13,43.50288
2025-06-14,41.40534
2025-06-15,31.80912
2025-06-16,38.5527
2025-06-17,37.5721
2025-06-18,40.10487
2025-06-19,39.60671
2025-06-20,34.46775
2025-06-21,38.84635
2025-06-22,36.02517
2025-06-23,42.30728
2025-06-24,42.96801
2025-06-25,40.81279
2025-06-26,41.269
2025-06-27,30.04195
2025-06-28,34.60409
2025-06-29,35.97797
2025-06-30,44.44677
2025-07-01,42.61667
2025-07-02,37.29417
2025-07-03,35.63712
2025-07-04,39.12952
2025-07-05,38.95647
2025-07-06,44.96067
2025-07-07,37.441
2025-07-08,45.10749
2025-07-09,43.47666
2025-07-10,42.22338
2025-07-11,40.36706
2025-07-12,26.10907
2025-07-13,31.484
2025-07-14,36.60723
2025-07-15,36.01468
2025-07-16,36.97954
2025-07-17,34.87152
2025-07-18,34.0797
2025-07-19,32.90508
2025-07-20,35.02359
2025-07-21,40.31463
2025-07-22,30.80755
2025-07-23,38.00209
2025-07-24,27.83429
2025-07-25,27.4882
2025-07-26,29.60671
2025-07-27,31.37912
2025-07-28,33.81751
2025-07-29,32.53801
2025-07-30,30.33036
2025-07-31,28.06502
2025-08-01,18.92501
2025-08-02,16.40272
2025-08-03,16.63869
2025-08-04,20.23072
2025-08-05,21.699
2025-08-06,21.11693
2025-08-07,19.64341
2025-08-08,19.04562
2025-08-09,17.53015
2025-08-10,19.12427
2025-08-11,21.30047
2025-08-12,20.24646
2025-08-13,19.06135
2025-08-14,16.11431
2025-08-15,13.72836
2025-08-16,16.05663
2025-08-17,16.99528
2025-08-18,23.613
2025-08-19,23.64446
2025-08-20,22.73203
2025-08-21,22.13948
2025-08-22,19.69061
2025-08-23,18.53696
2025-08-24,19.30256
2025-08-25,23.11484
2025-08-26,19.70634
2025-08-27,21.12218
2025-08-28,21.46303
2025-08-29,20.17829
2025-08-30,17.68222
2025-08-31,19.0194
2025-09-01,23.24593
2025-09-02,22.03985
2025-09-03,21.19035
2025-09-04,18.75196
2025-09-05,17.98636
2025-09-06,20.09963
2025-09-07,21.29522
2025-09-08,20.29365
2025-09-09,21.33193
2025-09-10,20.21499
2025-09-11,18.95123
2025-09-12,17.89722
2025-09-13,16.5076
2025-09-14,16.69113
2025-09-15,21.09071
2025-09-16,20.81279
2025-09-17,20.76035
2025-09-18,20.3356
2025-09-19,18.8883
2025-09-20,15.88883
2025-09-21,17.96539
2025-09-22,20.22548
2025-09-23,19.01415
2025-09-24,19.00367
2025-09-25,19.17147
2025-09-26,17.22076
2025-09-27,16.06712
2025-09-28,16.73833
2025-09-29,19.71158
2025-09-30,18.43733
2025-10-01,19.26061
2025-10-02,15.64761
2025-10-03,14.1269
2025-10-04,13.89617
2025-10-05,12.19716
2025-10-06,13.42422
2025-10-07,12.87362
2025-10-08,15.18091
2025-10-09,16.36601
2025-10-10,18.71525
2025-10-11,17.96539
2025-10-12,19.22915
2025-10-13,21.84058
2025-10-14,20.31987
2025-10-15,19.88987
2025-10-16,16.53382
2025-10-17,14.75616
2025-10-18,13.41898
2025-10-19,14.29994
2025-10-20,15.84163
2025-10-21,16.60199
2025-10-22,16.15102
2025-10-23,14.91347
2025-10-24,13.37703
2025-10-25,12.30728
2025-10-26,13.89617
2025-10-27,16.60199
2025-10-28,16.13529
2025-10-29,15.83114
2025-10-30,15.40115
2025-10-31,13.27215
2025-11-01,13.55007
2025-11-02,13.89617
2025-11-03,16.02517
2025-11-04,16.3765
2025-11-05,17.06345
2025-11-06,16.70162
2025-11-07,15.83639
2025-11-08,13.66544
2025-11-09,14.59884
2025-11-10,16.87991
2025-11-11,17.29417
2025-11-12,16.28211
2025-11-13,15.65285
2025-11-14,14.73518
2025-11-15,11.914
2025-11-16,13.73885
2025-11-17,16.49187
2025-11-18,16.8432
2025-11-19,16.85369
2025-11-20,15.48505
2025-11-21,14.82433
2025-11-22,13.64971
2025-11-23,14.03251
2025-11-24,17.75563
2025-11-25,16.0409
2025-11-26,15.99895
2025-11-27,15.34871
2025-11-28,13.32459
2025-11-29,11.55217
2025-11-30,13.39276
2025-12-01,17.08442
2025-12-02,15.96224
2025-12-03,16.62821
2025-12-04,15.20713
2025-12-05,12.40692
2025-12-06,13.38751
2025-12-07,14.18458
2025-12-08,17.34661
2025-12-09,15.96224
2025-12-10,16.11431
2025-12-11,15.76297
2025-12-12,14.83481
2025-12-13,14.06921
2025-12-14,15.32773
2025-12-15,17.02674
2025-12-16,15.93078
2025-12-17,17.37283
2025-12-18,16.58101
2025-12-19,15.17042
2025-12-20,15.25957
2025-12-21,16.53906
2025-12-22,18.22233
2025-12-23,18.2538
2025-12-24,16.1248
2025-12-25,15.88358
2025-12-26,17.11588
2025-12-27,15.312
2025-12-28,16.36077
2025-12-29,18.96696
2025-12-30,18.24855
2025-12-31,15.79444
2026-01-01,18.15941
2026-01-02,18.63135
2026-01-03,18.94074
2026-01-04,19.97902
2026-01-05,20.95437
2026-01-06,21.23754
2026-01-07,21.82485
2026-01-08,23.7441
2026-01-09,20.52962
2026-01-10,16.70686
2026-01-11,19.42842
2026-01-12,20.89669
2026-01-13,21.42632
2026-01-14,21.96119
2026-01-15,20.30938
2026-01-16,19.43366
2026-01-17,18.52123
2026-01-18,20.16255
2026-01-19,20.94389
2026-01-20,21.11693
2026-01-21,21.51546
2026-01-22,21.14315
2026-01-23,19.88463
2026-01-24,19.88987
2026-01-25,21.07498
2026-01-26,23.29313
2026-01-27,22.52753
2026-01-28,24.58311
2026-01-29,22.98374
2026-01-30,22.58521
2026-01-31,21.699
2026-02-01,21.71473
2026-02-02,22.16046
2026-02-03,22.7635
2026-02-04,23.58154
2026-02-05,23.71788
2026-02-06,22.3335
2026-02-07,20.13633
2026-02-08,21.42632
2026-02-09,24.72469
2026-02-10,25.80492
2026-02-11,24.26324
2026-02-12,21.81961
